Meat,Type,Sandwich,Calories,TotalFat_g,Sodium_mg,CaloriesFromFat,SaturatedFat_g,TransFat_g,Cholesterol_mg,Carbohydrates_g,Fiber_g,Sugars_g,Protein_g,Restaurant
Beef,Burger,JR. BURGER,340,17,640,150,6.0,1.0,35,34,1,6,15,Sonic
Beef,Burger,JR. Chili Cheeseburger,410,24,730,220,9.0,0.5,55,32,1,4,20,Sonic
Beef,Burger,JR. DELUXE BURGER,380,23,470,200,6.0,1.0,40,32,1,4,15,Sonic
Beef,Burger,JR. DELUXE CHEESEBURGER,450,28,800,250,9.0,1.0,60,33,1,4,19,Sonic
Beef,Burger,JR. DOUBLE CHEESEBURGER,600,38,1350,350,16.0,2.0,110,35,1,7,31,Sonic
Beef,Burger,SONIC BACON CHEESEBURGER (W/MAYO),870,59,1350,530,20.0,2.0,140,45,2,7,39,Sonic
Beef,Burger,SONIC BURGER (W/KETCHUP),650,37,860,340,14.0,2.0,100,46,2,10,32,Sonic
Beef,Burger,SONIC BURGER (W/MAYONNAISE),740,48,760,430,15.0,2.0,110,44,2,7,31,Sonic
Beef,Burger,SONIC BURGER (W/MUSTARD),640,37,790,330,14.0,2.0,100,43,2,7,31,Sonic
Beef,Burger,SONIC CHEESEBURGER (W/KETCHUP),720,43,1190,380,17.0,2.0,120,47,2,10,35,Sonic
Beef,Burger,SONIC CHEESEBURGER (W/MAYONNAISE),800,54,1090,480,18.0,2.0,130,44,2,7,35,Sonic
Beef,Burger,SONIC CHEESEBURGER (W/MUSTARD),710,43,1120,380,17.0,2.0,120,43,2,7,35,Sonic
Beef,Burger,Super SONIC BACON DOUBLE CHEESEBURGER (W/MAYO),1280,92,1630,830,36.0,4.0,260,44,2,7,67,Sonic
Beef,Burger,Super SONIC DOUBLE CHEESEBURGER (W/KETCHUP),1130,76,1620,680,32.0,4.0,235,47,2,11,63,Sonic
Beef,Burger,Super SONIC DOUBLE CHEESEBURGER (W/MAYO),1220,87,1520,780,34.0,4.0,245,45,2,8,63,Sonic
Beef,Burger,Super SONIC DOUBLE CHEESEBURGER (W/MUSTARD),1120,76,1550,680,32.0,4.0,235,44,2,8,63,Sonic
Beef,Burger,Super SONIC JALAPEÑO DOUBLE CHEESEBURGER,1120,76,1690,680,32.0,4.0,235,43,2,7,63,Sonic
Veggie,Burger,VEGGIE BURGER (W/ KETCHUP),450,14,1410,130,4.0,0.0,10,67,5,11,15,Sonic
Veggie,Burger,VEGGIE BURGER (W/ MUSTARD),450,14,1300,130,4.0,0.0,10,64,5,8,15,Sonic
Veggie,Burger,VEGGIE BURGER WITH MUSTARD,450,14,1350,130,4.0,0.0,10,64,5,8,15,Sonic
Chicken,Sandwich,ASIAGO CAESAR CHICKEN CLUB SANDWICH (CRISPY),680,39,1120,350,9.0,0.0,80,53,4,7,31,Sonic
Chicken,Sandwich,ASIAGO CAESAR CHICKEN CLUB SANDWICH (Grilled),610,30,1570,270,7.0,0.0,110,44,3,8,40,Sonic
Chicken,Sandwich,CHICKEN STRIP SANDWICH,450,24,740,220,4.0,0.0,35,43,1,4,19,Sonic
Chicken,Sandwich,CRISPY CHICKEN SANDWICH (WHEAT),570,33,1060,300,5.0,0.0,45,47,4,6,23,Sonic
Chicken,Sandwich,GRILLED CHICKEN SANDWICH Sonic,430,20,940,180,4.0,0.0,80,33,2,6,28,Sonic
Chicken,Just Meat,JUMBO POPCORN CHICKEN - LARGE (6oz),560,32,1890,290,6.0,1.0,65,41,5,2,27,Sonic
Chicken,Just Meat,JUMBO POPCORN CHICKEN - SMALL (4oz),380,22,1250,190,4.0,0.0,45,27,3,1,18,Sonic
Chicken,Just Meat,SPICY JUMBO POPCORN CHICKEN LARGE,610,30,1500,270,5.0,0.0,80,51,3,0,36,Sonic
Chicken,Just Meat,SPICY JUMBO POPCORN CHICKEN SMALL,350,17,860,150,3.0,0.0,45,30,2,0,21,Sonic
Chicken,Just Meat,SUPER CRUNCH CHICKEN STRIP DINNER 3 PIECE,970,46,2160,410,8.0,1.0,55,109,7,9,30,Sonic
Chicken,Just Meat,SUPER CRUNCH CHICKEN STRIP DINNER 4 PIECE,1080,51,2390,460,9.0,1.0,75,118,8,9,37,Sonic
Chicken,Just Meat,SUPER CRUNCH CHICKEN STRIP DINNER 5 PIECE,1190,57,2610,510,10.0,1.0,90,126,8,9,44,Sonic
Chicken,Just Meat,SUPER CRUNCH CHICKEN STRIPS 3 PIECE,330,16,670,140,3.0,0.0,55,25,2,0,22,Sonic
Chicken,Just Meat,SUPER CRUNCH CHICKEN STRIPS 4 PIECE,440,21,900,190,4.0,0.0,70,34,2,1,29,Sonic
Chicken,Just Meat,SUPER CRUNCH CHICKEN STRIPS 5 PIECE,550,26,1120,240,5.0,0.0,90,42,3,1,36,Sonic
